DATE,INDPRO
1994-04-01,68.1906
1994-05-01,68.5136
1994-06-01,68.9608
1994-07-01,69.0536
1994-08-01,69.5074
1994-09-01,69.7304
1994-10-01,70.2734
1994-11-01,70.7471
1994-12-01,71.4653
1995-01-01,71.5873
1995-02-01,71.4827
1995-03-01,71.5962
1995-04-01,71.4939
1995-05-01,71.8245
1995-06-01,72.0577
1995-07-01,71.7421
1995-08-01,72.6863
1995-09-01,72.9890
1995-10-01,72.8743
1995-11-01,73.0432
1995-12-01,73.3148
1996-01-01,72.9017
1996-02-01,73.9550
1996-03-01,73.8546
1996-04-01,74.6152
1996-05-01,75.1500
1996-06-01,75.7190
1996-07-01,75.7189
1996-08-01,76.0875
1996-09-01,76.5959
1996-10-01,76.5662
1996-11-01,77.2493
1996-12-01,77.7342
1997-01-01,77.8711
1997-02-01,78.7993
1997-03-01,79.2746
1997-04-01,79.3464
1997-05-01,79.7730
1997-06-01,80.1365
1997-07-01,80.7798
1997-08-01,81.6119
1997-09-01,82.4022
1997-10-01,83.1064
1997-11-01,83.7534
1997-12-01,84.1331
1998-01-01,84.5113
1998-02-01,84.6409
1998-03-01,84.6684
1998-04-01,84.9827
1998-05-01,85.5129
1998-06-01,84.9980
1998-07-01,84.6664
1998-08-01,86.4183
1998-09-01,86.3287
1998-10-01,86.9767
1998-11-01,86.9005
1998-12-01,87.2514
1999-01-01,87.6357
1999-02-01,88.1298
1999-03-01,88.2987
1999-04-01,88.4947
1999-05-01,89.0447
1999-06-01,88.9802
1999-07-01,89.5155
1999-08-01,89.8984
1999-09-01,89.4960
1999-10-01,90.6725
1999-11-01,91.1438
1999-12-01,91.8444
2000-01-01,91.7942
2000-02-01,92.1272
2000-03-01,92.4733
2000-04-01,93.0619
2000-05-01,93.3427
2000-06-01,93.3908
2000-07-01,93.2040
2000-08-01,92.9637
2000-09-01,93.3533
2000-10-01,93.0019
2000-11-01,93.0137
2000-12-01,92.7388
2001-01-01,92.2054
2001-02-01,91.5813
2001-03-01,91.3567
2001-04-01,91.0720
2001-05-01,90.5335
2001-06-01,90.0322
2001-07-01,89.4778
2001-08-01,89.3838
2001-09-01,88.9262
2001-10-01,88.6365
2001-11-01,88.1058
2001-12-01,88.0897
2002-01-01,88.6706
2002-02-01,88.6723
2002-03-01,89.3624
2002-04-01,89.7933
2002-05-01,90.1629
2002-06-01,90.9078
2002-07-01,90.8761
2002-08-01,90.7850
2002-09-01,90.8931
2002-10-01,90.6289
2002-11-01,91.1366
2002-12-01,90.6374
2003-01-01,91.3852
2003-02-01,91.4940
2003-03-01,91.2210
2003-04-01,90.6448
2003-05-01,90.6163
2003-06-01,90.7372
2003-07-01,91.2028
2003-08-01,91.0119
2003-09-01,91.6355
2003-10-01,91.7372
2003-11-01,92.3505
2003-12-01,92.4019
2004-01-01,92.5643
2004-02-01,93.1092
2004-03-01,92.7403
2004-04-01,93.1255
2004-05-01,93.7970
2004-06-01,93.0677
2004-07-01,93.7646
2004-08-01,93.8516
2004-09-01,93.9393
2004-10-01,94.8012
2004-11-01,95.0379
2004-12-01,95.7433
2005-01-01,96.1164
2005-02-01,96.8200
2005-03-01,96.6725
2005-04-01,96.8638
2005-05-01,96.9622
2005-06-01,97.3530
2005-07-01,97.0425
2005-08-01,97.3856
2005-09-01,95.5090
2005-10-01,96.6445
2005-11-01,97.6736
2005-12-01,98.2108
2006-01-01,98.3353
2006-02-01,98.3412
2006-03-01,98.5915
2006-04-01,98.9042
2006-05-01,98.8999
2006-06-01,99.2090
2006-07-01,99.1473
2006-08-01,99.5815
2006-09-01,99.4133
2006-10-01,99.2931
2006-11-01,99.2376
2006-12-01,100.2526
2007-01-01,99.8600
2007-02-01,100.8096
2007-03-01,101.0257
2007-04-01,101.7497
2007-05-01,101.8148
2007-06-01,101.8424
2007-07-01,101.7209
2007-08-01,101.9639
2007-09-01,102.2023
2007-10-01,101.8873
2007-11-01,102.4717
2007-12-01,102.4621
2008-01-01,102.3148
2008-02-01,101.9384
2008-03-01,101.5904
2008-04-01,100.9098
2008-05-01,100.3073
2008-06-01,100.0853
2008-07-01,99.6124
2008-08-01,98.0601
2008-09-01,93.8451
2008-10-01,94.7036
2008-11-01,93.4737
2008-12-01,90.8250
2009-01-01,88.5830
2009-02-01,88.0069
2009-03-01,86.6045
2009-04-01,85.9406
2009-05-01,85.0635
2009-06-01,84.7841
2009-07-01,85.7471
2009-08-01,86.7094
2009-09-01,87.4072
2009-10-01,87.6595
2009-11-01,88.0061
2009-12-01,88.2819
2010-01-01,89.2744
2010-02-01,89.5648
2010-03-01,90.2296
2010-04-01,90.5689
2010-05-01,91.8247
2010-06-01,92.0070
2010-07-01,92.3967
2010-08-01,92.7118
2010-09-01,92.9252
2010-10-01,92.7115
2010-11-01,92.7535
2010-12-01,93.6492
2011-01-01,93.4768
2011-02-01,93.0617
2011-03-01,94.0244
2011-04-01,93.7011
2011-05-01,93.8490
2011-06-01,94.0844
2011-07-01,94.5881
2011-08-01,95.1605
2011-09-01,95.0855
2011-10-01,95.6902
2011-11-01,95.7307
2011-12-01,96.2047
2012-01-01,96.7772
2012-02-01,97.0510
2012-03-01,96.5714
2012-04-01,97.3139
2012-05-01,97.4669
2012-06-01,97.4577
2012-07-01,97.6786
2012-08-01,97.2842
2012-09-01,97.2295
2012-10-01,97.5344
2012-11-01,97.9837
2012-12-01,98.2122
2013-01-01,98.1664
2013-02-01,98.6458
2013-03-01,99.0597
2013-04-01,98.9927
2013-05-01,99.0726
2013-06-01,99.2065
2013-07-01,98.9204
2013-08-01,99.4996
2013-09-01,100.0568
2013-10-01,99.9168
2013-11-01,100.1762
2013-12-01,100.3658
2014-01-01,100.0380
2014-02-01,100.7918
2014-03-01,101.7782
2014-04-01,101.8337
2014-05-01,102.2325
2014-06-01,102.5722
2014-07-01,102.8479
2014-08-01,102.6491
2014-09-01,102.9858
2014-10-01,102.9911
2014-11-01,103.6669
2014-12-01,103.6139
2015-01-01,102.8479
2015-02-01,102.2292
2015-03-01,101.8945
2015-04-01,101.2859
2015-05-01,100.8408
2015-06-01,100.5063
2015-07-01,101.1831
2015-08-01,100.9115
2015-09-01,100.5680
2015-10-01,100.1588
2015-11-01,99.4099
2015-12-01,98.8329
2016-01-01,99.4797
2016-02-01,98.9583
2016-03-01,98.1954
2016-04-01,98.4673
2016-05-01,98.2889
2016-06-01,98.7201
2016-07-01,98.8992
2016-08-01,98.7249
2016-09-01,98.6060
2016-10-01,98.6703
2016-11-01,98.2288
2016-12-01,98.8958
2017-01-01,98.7446
2017-02-01,98.3676
2017-03-01,99.1065
2017-04-01,100.0363
2017-05-01,100.1470
2017-06-01,100.3042
2017-07-01,100.2092
2017-08-01,99.7055
2017-09-01,99.7485
2017-10-01,100.9880
2017-11-01,101.2730
2017-12-01,101.3696
2018-01-01,101.3561
2018-02-01,101.6495
2018-03-01,102.2980
2018-04-01,103.4095
2018-05-01,102.5408
2018-06-01,103.3045
2018-07-01,103.5474
2018-08-01,104.1659
2018-09-01,104.1315
2018-10-01,103.9874
2018-11-01,103.9127
2018-12-01,103.8670
