DATE,INTDSRINM193N
1994-04-01,12
1994-05-01,12
1994-06-01,12
1994-07-01,12
1994-08-01,12
1994-09-01,12
1994-10-01,12
1994-11-01,12
1994-12-01,12
1995-01-01,12
1995-02-01,12
1995-03-01,12
1995-04-01,12
1995-05-01,12
1995-06-01,12
1995-07-01,12
1995-08-01,12
1995-09-01,12
1995-10-01,12
1995-11-01,12
1995-12-01,12
1996-01-01,12
1996-02-01,12
1996-03-01,12
1996-04-01,12
1996-05-01,12
1996-06-01,12
1996-07-01,12
1996-08-01,12
1996-09-01,12
1996-10-01,12
1996-11-01,12
1996-12-01,12
1997-01-01,12
1997-02-01,12
1997-03-01,12
1997-04-01,11
1997-05-01,11
1997-06-01,10
1997-07-01,10
1997-08-01,10
1997-09-01,10
1997-10-01,9
1997-11-01,9
1997-12-01,9
1998-01-01,11
1998-02-01,11
1998-03-01,10.5
1998-04-01,10
1998-05-01,9
1998-06-01,9
1998-07-01,9
1998-08-01,9
1998-09-01,9
1998-10-01,9
1998-11-01,9
1998-12-01,9
1999-01-01,9
1999-02-01,9
1999-03-01,8
1999-04-01,8
1999-05-01,8
1999-06-01,8
1999-07-01,8
1999-08-01,8
1999-09-01,8
1999-10-01,8
1999-11-01,8
1999-12-01,8
2000-01-01,8
2000-02-01,8
2000-03-01,8
2000-04-01,7
2000-05-01,7
2000-06-01,7
2000-07-01,8
2000-08-01,8
2000-09-01,8
2000-10-01,8
2000-11-01,8
2000-12-01,8
2001-01-01,8
2001-02-01,7.5
2001-03-01,7
2001-04-01,7
2001-05-01,7
2001-06-01,7
2001-07-01,7
2001-08-01,7
2001-09-01,7
2001-10-01,6.5
2001-11-01,6.5
2001-12-01,6.5
2002-01-01,6.5
2002-02-01,6.5
2002-03-01,6.5
2002-04-01,6.5
2002-05-01,6.5
2002-06-01,6.5
2002-07-01,6.5
2002-08-01,6.5
2002-09-01,6.5
2002-10-01,6.5
2002-11-01,6.25
2002-12-01,6.25
2003-01-01,6.25
2003-02-01,6.25
2003-03-01,6.25
2003-04-01,6.25
2003-05-01,6
2003-06-01,6
2003-07-01,6
