DATE,M1SL
1994-04-01,1141.1
1994-05-01,1143.3
1994-06-01,1145.2
1994-07-01,1150.7
1994-08-01,1150.6
1994-09-01,1151.9
1994-10-01,1150.2
1994-11-01,1150.9
1994-12-01,1150.7
1995-01-01,1151.4
1995-02-01,1147.4
1995-03-01,1146.7
1995-04-01,1149.3
1995-05-01,1145.3
1995-06-01,1144.2
1995-07-01,1145.5
1995-08-01,1145.4
1995-09-01,1142.0
1995-10-01,1137.3
1995-11-01,1134.1
1995-12-01,1127.5
1996-01-01,1123.5
1996-02-01,1118.5
1996-03-01,1122.6
1996-04-01,1124.8
1996-05-01,1116.5
1996-06-01,1115.2
1996-07-01,1112.4
1996-08-01,1101.6
1996-09-01,1096.2
1996-10-01,1085.7
1996-11-01,1083.5
1996-12-01,1081.3
1997-01-01,1081.2
1997-02-01,1078.8
1997-03-01,1072.5
1997-04-01,1063.9
1997-05-01,1063.8
1997-06-01,1066.1
1997-07-01,1065.5
1997-08-01,1075.3
1997-09-01,1066.9
1997-10-01,1065.6
1997-11-01,1070.9
1997-12-01,1072.3
1998-01-01,1074.0
1998-02-01,1077.8
1998-03-01,1076.9
1998-04-01,1076.5
1998-05-01,1079.1
1998-06-01,1076.3
1998-07-01,1075.1
1998-08-01,1075.9
1998-09-01,1079.9
1998-10-01,1086.0
1998-11-01,1094.9
1998-12-01,1095.0
1999-01-01,1098.1
1999-02-01,1096.7
1999-03-01,1096.6
1999-04-01,1101.6
1999-05-01,1103.8
1999-06-01,1099.8
1999-07-01,1099.1
1999-08-01,1099.2
1999-09-01,1096.5
1999-10-01,1103.3
1999-11-01,1110.7
1999-12-01,1122.2
2000-01-01,1122.1
2000-02-01,1108.6
2000-03-01,1107.5
2000-04-01,1115.6
2000-05-01,1104.9
2000-06-01,1102.6
2000-07-01,1103.5
2000-08-01,1100.2
2000-09-01,1099.7
2000-10-01,1098.7
2000-11-01,1092.4
2000-12-01,1088.6
2001-01-01,1096.7
2001-02-01,1101.2
2001-03-01,1108.9
2001-04-01,1116.7
2001-05-01,1118.5
2001-06-01,1126.2
2001-07-01,1138.9
2001-08-01,1150.2
2001-09-01,1205.7
2001-10-01,1165.7
2001-11-01,1171.0
2001-12-01,1183.2
2002-01-01,1190.7
2002-02-01,1190.6
2002-03-01,1193.3
2002-04-01,1186.9
2002-05-01,1189.3
2002-06-01,1193.3
2002-07-01,1199.1
2002-08-01,1187.1
2002-09-01,1196.1
2002-10-01,1204.0
2002-11-01,1209.6
2002-12-01,1220.2
2003-01-01,1227.3
2003-02-01,1238.2
2003-03-01,1239.3
2003-04-01,1250.0
2003-05-01,1268.8
2003-06-01,1281.0
2003-07-01,1287.5
2003-08-01,1296.4
2003-09-01,1297.2
2003-10-01,1297.8
2003-11-01,1299.1
2003-12-01,1306.2
2004-01-01,1306.0
2004-02-01,1321.4
2004-03-01,1328.7
2004-04-01,1332.8
2004-05-01,1333.3
2004-06-01,1342.7
2004-07-01,1340.8
2004-08-01,1354.3
2004-09-01,1362.5
2004-10-01,1362.3
2004-11-01,1374.2
2004-12-01,1376.0
2005-01-01,1367.1
2005-02-01,1371.1
2005-03-01,1370.9
2005-04-01,1358.4
2005-05-01,1366.0
2005-06-01,1380.1
2005-07-01,1369.0
2005-08-01,1377.8
2005-09-01,1378.6
2005-10-01,1376.5
2005-11-01,1376.1
2005-12-01,1374.3
2006-01-01,1379.5
2006-02-01,1378.4
2006-03-01,1383.2
2006-04-01,1381.4
2006-05-01,1387.2
2006-06-01,1375.4
2006-07-01,1372.4
2006-08-01,1372.4
2006-09-01,1364.4
2006-10-01,1370.3
2006-11-01,1370.8
2006-12-01,1366.6
2007-01-01,1371.7
2007-02-01,1363.0
2007-03-01,1366.5
2007-04-01,1378.0
2007-05-01,1380.9
2007-06-01,1368.2
2007-07-01,1371.8
2007-08-01,1376.3
2007-09-01,1375.7
2007-10-01,1379.4
2007-11-01,1371.8
2007-12-01,1373.4
2008-01-01,1377.7
2008-02-01,1380.4
2008-03-01,1388.7
2008-04-01,1391.4
2008-05-01,1393.4
2008-06-01,1404.6
2008-07-01,1421.1
2008-08-01,1407.4
2008-09-01,1462.0
2008-10-01,1473.8
2008-11-01,1514.6
2008-12-01,1601.7
2009-01-01,1582.8
2009-02-01,1567.2
2009-03-01,1578.9
2009-04-01,1611.6
2009-05-01,1617.5
2009-06-01,1658.8
2009-07-01,1662.5
2009-08-01,1660.0
2009-09-01,1664.9
2009-10-01,1677.7
2009-11-01,1683.0
2009-12-01,1692.8
2010-01-01,1674.7
2010-02-01,1699.8
2010-03-01,1711.9
2010-04-01,1699.0
2010-05-01,1710.1
2010-06-01,1731.6
2010-07-01,1724.0
2010-08-01,1748.7
2010-09-01,1766.2
2010-10-01,1780.4
2010-11-01,1828.4
2010-12-01,1836.7
2011-01-01,1846.3
2011-02-01,1870.1
2011-03-01,1896.5
2011-04-01,1897.0
2011-05-01,1941.6
2011-06-01,1963.4
2011-07-01,1996.0
2011-08-01,2115.4
2011-09-01,2120.0
2011-10-01,2128.5
2011-11-01,2182.0
2011-12-01,2165.7
2012-01-01,2197.6
2012-02-01,2209.8
2012-03-01,2232.4
2012-04-01,2244.2
2012-05-01,2260.3
2012-06-01,2281.7
2012-07-01,2313.6
2012-08-01,2350.9
2012-09-01,2382.4
2012-10-01,2415.2
2012-11-01,2435.9
2012-12-01,2459.4
2013-01-01,2471.6
2013-02-01,2474.0
2013-03-01,2482.1
2013-04-01,2513.2
2013-05-01,2531.9
2013-06-01,2532.6
2013-07-01,2541.8
2013-08-01,2553.7
2013-09-01,2581.1
2013-10-01,2620.0
2013-11-01,2630.5
2013-12-01,2662.9
2014-01-01,2696.6
2014-02-01,2728.4
2014-03-01,2755.1
2014-04-01,2777.7
2014-05-01,2794.3
2014-06-01,2829.5
2014-07-01,2840.0
2014-08-01,2803.6
2014-09-01,2861.4
2014-10-01,2868.3
2014-11-01,2886.3
2014-12-01,2939.4
2015-01-01,2941.0
2015-02-01,3009.3
2015-03-01,3002.2
2015-04-01,3001.4
2015-05-01,2983.7
2015-06-01,3020.5
2015-07-01,3038.0
2015-08-01,3028.4
2015-09-01,3043.0
2015-10-01,3017.0
2015-11-01,3081.2
2015-12-01,3096.3
2016-01-01,3099.9
2016-02-01,3133.4
2016-03-01,3157.2
2016-04-01,3199.2
2016-05-01,3237.3
2016-06-01,3244.1
2016-07-01,3242.5
2016-08-01,3315.7
2016-09-01,3322.6
