DATE,MANMM101INM189S
1994-04-01,1527103135530.97
1994-05-01,1552164383078.69
1994-06-01,1592908598637.8
1994-07-01,1632965593360.25
1994-08-01,1620366070756.47
1994-09-01,1667244439441.72
1994-10-01,1716378777553.1401
1994-11-01,1748983544903.64
1994-12-01,1781272192613.8699
1995-01-01,1775039058620.37
1995-02-01,1808899522620.49
1995-03-01,1891386843187.61
1995-04-01,1878162295059.54
1995-05-01,1900395370802.0898
1995-06-01,1898177254271.88
1995-07-01,1926535075790.84
1995-08-01,1976082431252.76
1995-09-01,1990241846176.64
1995-10-01,2018480631476.78
1995-11-01,2002624334243.05
1995-12-01,2019601333226.68
1996-01-01,2036488824390.62
1996-02-01,2048482780695.58
1996-03-01,2100807349451.4802
1996-04-01,2110610647348.92
1996-05-01,2107430541943.46
1996-06-01,2137352542450.31
1996-07-01,2155193597637.63
1996-08-01,2191217825196.21
1996-09-01,2214711785877.8003
1996-10-01,2216931393527.88
1996-11-01,2248287330352.78
1996-12-01,2260915560567.44
1997-01-01,2298413938500.96
1997-02-01,2327163916137.5503
1997-03-01,2343953386743.0
1997-04-01,2342459716901.62
1997-05-01,2374723893203.06
1997-06-01,2440102819000.69
1997-07-01,2450881028117.4
1997-08-01,2440790985524.29
1997-09-01,2474371795156.55
1997-10-01,2479331703814.43
1997-11-01,2536319643034.15
1997-12-01,2548973430775.23
1998-01-01,2553281709155.56
1998-02-01,2569714199691.79
1998-03-01,2606453444008.12
1998-04-01,2631454785151.4497
1998-05-01,2658105362296.52
1998-06-01,2690191200399.2
1998-07-01,2708144123807.72
1998-08-01,2738880971450.8003
1998-09-01,2784455941705.94
1998-10-01,2817566697955.48
1998-11-01,2816130564372.1597
1998-12-01,2845302984193.69
1999-01-01,2920522534659.4697
1999-02-01,2939669984784.96
1999-03-01,3012061672265.83
1999-04-01,3014975096143.89
1999-05-01,3043580398403.15
1999-06-01,3062831378360.25
1999-07-01,3105361331427.18
1999-08-01,3149455408740.55
1999-09-01,3188143575761.4
1999-10-01,3217708916343.59
1999-11-01,3255913127553.1
1999-12-01,3347282826838.9097
2000-01-01,3358472389838.8003
