DATE,XTNTVA01USM667S
1994-04-01,-11685000000.0
1994-05-01,-12451000000.0
1994-06-01,-12881000000.0
1994-07-01,-14141000000.0
1994-08-01,-13019000000.0
1994-09-01,-13638000000.0
1994-10-01,-13747000000.0
1994-11-01,-14736000000.0
1994-12-01,-12259000000.0
1995-01-01,-14236000000.0
1995-02-01,-13239000000.0
1995-03-01,-13131000000.0
1995-04-01,-14873000000.0
1995-05-01,-13906000000.0
1995-06-01,-14427000000.0
1995-07-01,-14382000000.0
1995-08-01,-12733000000.0
1995-09-01,-12205000000.0
1995-10-01,-11895000000.0
1995-11-01,-11879000000.0
1995-12-01,-11895000000.0
1996-01-01,-13550000000
1996-02-01,-11894000000.0
1996-03-01,-12905000000.0
1996-04-01,-13108000000.0
1996-05-01,-14452000000.0
1996-06-01,-13973000000.0
1996-07-01,-14923000000.0
1996-08-01,-14808000000.0
1996-09-01,-15816000000.0
1996-10-01,-13949000000.0
1996-11-01,-14241000000.0
1996-12-01,-16594000000.000002
1997-01-01,-16942000000.0
1997-02-01,-15054000000.0
1997-03-01,-13092000000.0
1997-04-01,-13897000000.0
1997-05-01,-14637000000.0
1997-06-01,-13369000000.0
1997-07-01,-13740000000
1997-08-01,-15372000000.0
1997-09-01,-15803000000.0
1997-10-01,-15876000000.0
1997-11-01,-15931000000.0
1997-12-01,-16809000000.000002
1998-01-01,-16227000000.0
1998-02-01,-16728000000.000002
1998-03-01,-18555000000.0
1998-04-01,-20336000000.0
1998-05-01,-20506000000.0
1998-06-01,-18766000000.0
1998-07-01,-19117000000.0
1998-08-01,-20626000000.0
1998-09-01,-19783000000.0
1998-10-01,-19749000000.0
1998-11-01,-19488000000.0
1998-12-01,-19878000000.0
1999-01-01,-21509000000.0
1999-02-01,-24320000000
1999-03-01,-23820000000
1999-04-01,-24255000000.0
1999-05-01,-26698000000.0
1999-06-01,-29448000000.0
1999-07-01,-29917000000.0
1999-08-01,-29124000000.0
1999-09-01,-28459000000.0
1999-10-01,-29886000000.0
1999-11-01,-30778000000.0
1999-12-01,-30606000000.0
2000-01-01,-31357000000.0
2000-02-01,-33491999999.999996
2000-03-01,-36041000000.0
2000-04-01,-35428000000.0
2000-05-01,-36019000000.0
2000-06-01,-37022000000.0
2000-07-01,-37638000000.0
2000-08-01,-35902000000.0
2000-09-01,-38834000000.0
2000-10-01,-39211000000.0
2000-11-01,-37302000000.0
2000-12-01,-37857000000.0
2001-01-01,-39601000000.0
2001-02-01,-34235999999.999996
2001-03-01,-37503000000.0
2001-04-01,-35359000000.0
2001-05-01,-31378000000.0
2001-06-01,-33875999999.999996
2001-07-01,-34382000000.0
2001-08-01,-32921000000.0
2001-09-01,-34582000000.0
2001-10-01,-34335000000.0
2001-11-01,-33268000000.0
2001-12-01,-30458000000.0
2002-01-01,-33503999999.999996
2002-02-01,-35822000000.0
2002-03-01,-35522000000.0
2002-04-01,-38014000000.0
2002-05-01,-38213000000.0
2002-06-01,-39076000000.0
2002-07-01,-38068000000.0
2002-08-01,-40548000000.0
2002-09-01,-40725000000.0
2002-10-01,-38794000000.0
2002-11-01,-43305000000.0
2002-12-01,-46671000000.0
2003-01-01,-44216000000.0
2003-02-01,-42873000000.0
2003-03-01,-46263000000.0
2003-04-01,-44602000000.0
2003-05-01,-44299000000.0
2003-06-01,-42816000000.0
2003-07-01,-44386000000.0
2003-08-01,-42820000000
