DATE,IND_INT
01/01/00,8
01/02/00,8
01/03/00,8
01/04/00,7
01/05/00,7
01/06/00,7
01/07/00,8
01/08/00,8
01/09/00,8
01/10/00,8
01/11/00,8
01/12/00,8
01/01/01,8
01/02/01,7.5
01/03/01,7
01/04/01,7
01/05/01,7
01/06/01,7
01/07/01,7
01/08/01,7
01/09/01,7
01/10/01,6.5
01/11/01,6.5
01/12/01,6.5
01/01/02,6.5
01/02/02,6.5
01/03/02,6.5
01/04/02,6.5
01/05/02,6.5
01/06/02,6.5
01/07/02,6.5
01/08/02,6.5
01/09/02,6.5
01/10/02,6.5
01/11/02,6.25
01/12/02,6.25
01/01/03,6.25
01/02/03,6.25
01/03/03,6.25
01/04/03,6.25
01/05/03,6
01/06/03,6
01/07/03,6
01/08/03,6
01/09/03,6
01/10/03,6
01/11/03,6
01/12/03,6
01/01/04,6
01/02/04,6
01/03/04,6
01/04/04,6
01/05/04,6
01/06/04,6
01/07/04,6
01/08/04,6
01/09/04,6
01/10/04,6
01/11/04,6
01/12/04,6
01/01/05,6
01/02/05,6
01/03/05,6
01/04/05,6
01/05/05,6
01/06/05,6
01/07/05,6
01/08/05,6
01/09/05,6
01/10/05,6
01/11/05,6
01/12/05,6
01/01/06,6
01/02/06,6
01/03/06,6
01/04/06,6
01/05/06,6
01/06/06,6
01/07/06,6
01/08/06,6
01/09/06,6
01/10/06,6
01/11/06,6
01/12/06,6
01/01/07,6
01/02/07,6
01/03/07,6
01/04/07,6
01/05/07,6
01/06/07,6
01/07/07,6
01/08/07,6
01/09/07,6
01/10/07,6
01/11/07,6
01/12/07,6
01/01/08,6
01/02/08,6
01/03/08,6
01/04/08,6
01/05/08,6
01/06/08,6
01/07/08,6
01/08/08,6
01/09/08,6
01/10/08,6
01/11/08,6
01/12/08,6
01/01/09,6
01/02/09,6
01/03/09,6
01/04/09,6
01/05/09,6
01/06/09,6
01/07/09,6
01/08/09,6
01/09/09,6
01/10/09,6
01/11/09,6
01/12/09,6
01/01/10,6
01/02/10,6
01/03/10,6
01/04/10,6
01/05/10,6
01/06/10,6
01/07/10,6
01/08/10,6
01/09/10,6
01/10/10,6
01/11/10,6
01/12/10,6
01/01/11,6
01/02/11,6
01/03/11,6
01/04/11,6
01/05/11,6
01/06/11,6
01/07/11,6
01/08/11,6
01/09/11,6
01/10/11,6
01/11/11,6
01/12/11,6
01/01/12,6
01/02/12,9.5
01/03/12,9.5
01/04/12,9
01/05/12,9
01/06/12,9
01/07/12,9
01/08/12,9
01/09/12,9
01/10/12,9
01/11/12,9
01/12/12,9
01/01/13,9
01/02/13,8.75
01/03/13,8.5
01/04/13,8.5
01/05/13,8.25
01/06/13,8.25
01/07/13,10.25
01/08/13,10.25
01/09/13,9.5
01/10/13,8.75
01/11/13,8.75
01/12/13,8.75
01/01/14,9
01/02/14,9
01/03/14,9
01/04/14,9
01/05/14,9
01/06/14,9
01/07/14,9
01/08/14,9
01/09/14,9
01/10/14,9
01/11/14,9
01/12/14,9
01/01/15,8.75
01/02/15,8.75
01/03/15,8.5
01/04/15,8.5
01/05/15,8.5
01/06/15,8.25
01/07/15,8.25
01/08/15,8.25
01/09/15,8.25
01/10/15,7.75
01/11/15,7.75
01/12/15,7.75
01/01/16,7.75
01/02/16,7.75
01/03/16,7.75
01/04/16,7
01/05/16,7
01/06/16,7
01/07/16,7
01/08/16,7
01/09/16,7
01/10/16,6.75
01/11/16,6.75
01/12/16,6.75
01/01/17,6.75
01/02/17,6.75
01/03/17,6.75
01/04/17,6.5
01/05/17,6.5
01/06/17,6.5
01/07/17,6.5
01/08/17,6.25
01/09/17,6.25
01/10/17,6.25
01/11/17,6.25
01/12/17,6.25
01/01/18,6.25
01/02/18,6.25
01/03/18,6.25
01/04/18,6.25
01/05/18,6.25
01/06/18,6.5
01/07/18,6.5
01/08/18,6.75
01/09/18,6.75
01/10/18,6.75
01/11/18,6.75
01/12/18,6.75
01/01/19,6.75
01/02/19,6.5
01/03/19,6.5
01/04/19,6.25
01/05/19,6.25
01/06/19,6
01/07/19,6
01/08/19,5.65
01/09/19,5.65
01/10/19,5.4
01/11/19,5.4
01/12/19,5.4
