DATE,m1_india
01/01/00,3.36E+12
01/02/00,3.41E+12
01/03/00,3.34E+12
01/04/00,3.40E+12
01/05/00,3.42E+12
01/06/00,3.45E+12
01/07/00,3.47E+12
01/08/00,3.51E+12
01/09/00,3.54E+12
01/10/00,3.60E+12
01/11/00,3.62E+12
01/12/00,3.70E+12
01/01/01,3.66E+12
01/02/01,3.70E+12
01/03/01,3.71E+12
01/04/01,3.79E+12
01/05/01,3.84E+12
01/06/01,3.89E+12
01/07/01,3.91E+12
01/08/01,3.98E+12
01/09/01,3.93E+12
01/10/01,3.95E+12
01/11/01,4.04E+12
01/12/01,4.07E+12
01/01/02,4.07E+12
01/02/02,4.11E+12
01/03/02,4.14E+12
01/04/02,4.19E+12
01/05/02,4.29E+12
01/06/02,4.32E+12
01/07/02,4.36E+12
01/08/02,4.40E+12
01/09/02,4.42E+12
01/10/02,4.48E+12
01/11/02,4.52E+12
01/12/02,4.57E+12
01/01/03,4.61E+12
01/02/03,4.67E+12
01/03/03,4.62E+12
01/04/03,4.76E+12
01/05/03,4.83E+12
01/06/03,4.92E+12
01/07/03,4.96E+12
01/08/03,4.99E+12
01/09/03,5.00E+12
01/10/03,5.25E+12
01/11/03,5.22E+12
01/12/03,5.31E+12
01/01/04,5.37E+12
01/02/04,5.50E+12
01/03/04,5.62E+12
01/04/04,5.67E+12
01/05/04,5.69E+12
01/06/04,5.70E+12
01/07/04,5.77E+12
01/08/04,5.98E+12
01/09/04,5.86E+12
01/10/04,6.21E+12
01/11/04,6.16E+12
01/12/04,6.16E+12
01/01/05,6.26E+12
01/02/05,6.29E+12
01/03/05,6.26E+12
01/04/05,6.54E+12
01/05/05,6.59E+12
01/06/05,6.73E+12
01/07/05,6.84E+12
01/08/05,6.96E+12
01/09/05,7.15E+12
01/10/05,7.17E+12
01/11/05,7.28E+12
01/12/05,7.46E+12
01/01/06,7.56E+12
01/02/06,7.71E+12
01/03/06,7.93E+12
01/04/06,8.26E+12
01/05/06,8.07E+12
01/06/06,8.04E+12
01/07/06,8.21E+12
01/08/06,8.40E+12
01/09/06,8.50E+12
01/10/06,8.65E+12
01/11/06,8.70E+12
01/12/06,8.79E+12
01/01/07,8.86E+12
01/02/07,9.25E+12
01/03/07,9.26E+12
01/04/07,9.08E+12
01/05/07,9.14E+12
01/06/07,9.42E+12
01/07/07,9.59E+12
01/08/07,9.49E+12
01/09/07,9.84E+12
01/10/07,9.77E+12
01/11/07,1.03E+13
