DATE,m1_usa
01/01/00,1.1221E+12
01/02/00,1.1086E+12
01/03/00,1.1075E+12
01/04/00,1.1156E+12
01/05/00,1.1049E+12
01/06/00,1.1026E+12
01/07/00,1.1035E+12
01/08/00,1.1002E+12
01/09/00,1.0997E+12
01/10/00,1.0987E+12
01/11/00,1.0924E+12
01/12/00,1.0886E+12
01/01/01,1.0967E+12
01/02/01,1.1012E+12
01/03/01,1.1089E+12
01/04/01,1.1167E+12
01/05/01,1.1185E+12
01/06/01,1.1262E+12
01/07/01,1.1389E+12
01/08/01,1.1502E+12
01/09/01,1.2057E+12
01/10/01,1.1657E+12
01/11/01,1.171E+12
01/12/01,1.1832E+12
01/01/02,1.1907E+12
01/02/02,1.1906E+12
01/03/02,1.1933E+12
01/04/02,1.1869E+12
01/05/02,1.1893E+12
01/06/02,1.1933E+12
01/07/02,1.1991E+12
01/08/02,1.1871E+12
01/09/02,1.1961E+12
01/10/02,1.204E+12
01/11/02,1.2096E+12
01/12/02,1.2202E+12
01/01/03,1.2273E+12
01/02/03,1.2382E+12
01/03/03,1.2393E+12
01/04/03,1.25E+12
01/05/03,1.2688E+12
01/06/03,1.281E+12
01/07/03,1.2875E+12
01/08/03,1.2964E+12
01/09/03,1.2972E+12
01/10/03,1.2978E+12
01/11/03,1.2991E+12
01/12/03,1.3062E+12
01/01/04,1.306E+12
01/02/04,1.3214E+12
01/03/04,1.3287E+12
01/04/04,1.3328E+12
01/05/04,1.3333E+12
01/06/04,1.3427E+12
01/07/04,1.3408E+12
01/08/04,1.3543E+12
01/09/04,1.3625E+12
01/10/04,1.3623E+12
01/11/04,1.3742E+12
01/12/04,1.376E+12
01/01/05,1.3671E+12
01/02/05,1.3711E+12
01/03/05,1.3709E+12
01/04/05,1.3584E+12
01/05/05,1.366E+12
01/06/05,1.3801E+12
01/07/05,1.369E+12
01/08/05,1.3778E+12
01/09/05,1.3786E+12
01/10/05,1.3765E+12
01/11/05,1.3761E+12
01/12/05,1.3743E+12
01/01/06,1.3795E+12
01/02/06,1.3784E+12
01/03/06,1.3832E+12
01/04/06,1.3814E+12
01/05/06,1.3872E+12
01/06/06,1.3754E+12
01/07/06,1.3724E+12
01/08/06,1.3724E+12
01/09/06,1.3644E+12
01/10/06,1.3703E+12
01/11/06,1.3708E+12
01/12/06,1.3666E+12
01/01/07,1.3717E+12
01/02/07,1.363E+12
01/03/07,1.3665E+12
01/04/07,1.378E+12
01/05/07,1.3809E+12
01/06/07,1.3682E+12
01/07/07,1.3718E+12
01/08/07,1.3763E+12
01/09/07,1.3757E+12
01/10/07,1.3794E+12
01/11/07,1.3718E+12
